,State,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,14-15_x,15-16_x,16-17_x,17-18_x,18-19_x,14-19 Total_x,Overall Increase_x,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,14-15_y,15-16_y,16-17_y,17-18_y,18-19_y,14-19 Total_y,Overall Increase_y,scaled_victims,scaled_fatalities
0,Alabama,13,26,28,43,34,17,13,2,15,-9,-17,4,1,8466,10157,10847,12158,11677,8697,1691,690,1311,-481,-2980,231,1,0.45246718733050756,0.2522184308253157
1,Alaska,5,1,2,2,1,3,-4,1,0,-1,2,-2,0,2898,3142,2783,2615,3059,2484,244,-359,-168,444,-575,-414,0,-0.17217777924966216,-0.17493801079663387
2,Arizona,51,48,35,48,33,40,-3,-13,13,-15,7,-11,0,11955,10841,9909,15504,12847,13877,-1114,-932,5595,-2657,1030,1922,1,-1.1091452291199169,1.3720967917287525
3,Arkansas,40,42,37,44,35,21,2,-5,7,-9,-14,-19,0,9204,9707,9334,8538,8422,8971,503,-373,-796,-116,549,-233,0,-1.9420051845601431,-0.05506930392287747
4,California,127,137,147,145,149,134,10,10,-2,4,-15,7,1,72000,68663,65342,63795,64115,75033,-3337,-3321,-1547,320,10918,3033,1,0.7647896706205924,2.1078654841969477
5,Colorado,19,37,35,40,25,20,18,-2,5,-15,-5,1,1,10100,11226,11578,11879,12246,9979,1126,352,301,367,-2267,-121,0,0.1401447040404227,0.01910359756806572
6,Connecticut,11,5,11,8,4,13,-6,6,-3,-4,9,2,1,6930,7903,8442,7652,8042,7651,973,539,-790,390,-391,721,1,0.24425219847045102,0.5767248748481921
7,Delaware,1,0,4,4,13,5,-1,4,0,9,-8,4,1,1538,1572,1542,1251,1248,1482,34,-30,-291,-3,234,-56,0,0.45246718733050756,0.062150370754773816
8,District of Columbia,3,3,4,5,3,3,0,1,1,-2,0,0,0,1348,1366,1639,1699,1857,1528,18,273,60,158,-329,180,1,0.03603720961039441,0.2184432703249755
9,Florida,124,110,101,111,114,138,-14,-9,10,3,24,14,1,43775,41894,40103,36795,32915,45738,-1881,-1791,-3308,-3880,12823,1963,1,1.4935421316307906,1.39924937173883
10,Georgia,113,97,94,86,68,102,-16,-3,-8,-18,34,-11,0,26952,21635,10319,11064,10102,22163,-5317,-11316,745,-962,12061,-4789,0,-1.1091452291199169,-3.072316975286602
11,Hawaii,4,4,4,1,4,2,0,0,-3,3,-2,-2,0,1506,1491,1280,1265,1342,1331,-15,-211,-15,77,-11,-175,0,-0.17217777924966216,-0.016658337079353314
12,Idaho,6,3,10,3,3,4,-3,7,-7,0,1,-2,0,1623,1847,1832,1919,1869,1595,224,-15,87,-50,-274,-28,0,-0.17217777924966216,0.08069359612750962
13,Illinois,77,64,74,70,106,100,-13,10,-4,36,-6,23,1,29993,29059,28751,31515,33331,25597,-934,-308,2764,1816,-7734,-4396,0,2.4305095815010453,-2.8120495620192743
14,Indiana,34,70,78,80,116,49,36,8,2,36,-67,15,1,26397,28430,29198,25731,23029,23334,2033,768,-3467,-2702,305,-3063,0,1.5976496260608188,-1.9292595826672454
15,Iowa,12,12,19,16,25,8,0,7,-3,9,-17,-4,0,7877,8555,10643,11764,11648,8071,678,2088,1121,-116,-3577,194,1,-0.3803927681097188,0.2277148830113434
16,Kansas,8,10,14,9,16,13,2,4,-5,7,-3,5,1,1992,2403,4153,3188,2945,1998,411,1750,-965,-243,-947,6,1,0.5565746817605358,0.10321036979440308
17,Kentucky,16,15,10,6,12,15,-1,-5,-4,6,3,-1,0,18897,20010,22410,23752,20130,17932,1113,2400,1342,-3622,-2198,-965,0,-0.06807028481963388,-0.5398421958101133
18,Louisiana,39,41,25,25,24,31,2,-16,0,-1,7,-8,0,12631,11289,10356,9380,8441,12057,-1342,-933,-976,-939,3616,-574,0,-0.7968227458298319,-0.28089929864083846
19,Maine,0,0,0,3,3,0,0,0,3,0,-3,0,0,3372,3446,3475,3481,4413,3823,74,29,6,932,-590,451,1,0.03603720961039441,0.39791520161109695
20,Maryland,28,32,41,40,55,24,4,9,-1,15,-31,-4,0,6790,6993,7578,7743,7661,9119,203,585,165,-82,1458,2329,1,-0.3803927681097188,1.641635817682448
21,Massachusetts,14,8,0,0,0,26,-6,-8,0,0,26,12,1,31089,31624,24955,25812,25029,31863,535,-6669,857,-783,6834,774,1,1.285327142770734,0.6118245514465849
22,Michigan,83,86,51,49,63,76,3,-35,-2,14,13,-7,0,34729,37261,38062,37703,33043,30705,2532,801,-359,-4660,-2338,-4024,0,-0.6927152513998037,-2.565689567781499
23,Minnesota,17,28,24,30,17,15,11,-4,6,-13,-2,-2,0,5120,7941,8709,7785,6780,4143,2821,768,-924,-1005,-2637,-977,0,-0.17217777924966216,-0.5477892923984287
24,Mississippi,35,41,40,30,35,22,6,-1,-10,5,-13,-13,0,8730,10179,10429,10002,9377,8435,1449,250,-427,-625,-942,-295,0,-1.3173602179799733,-0.09612930296250673
25,Missouri,35,29,33,36,46,36,-6,4,3,10,-10,1,1,5699,5481,4585,5662,4762,5322,-218,-896,1077,-900,560,-377,0,0.1401447040404227,-0.15043446298266155
26,Montana,2,0,4,2,2,4,-2,4,-2,0,2,2,1,1868,3116,3534,3763,3736,1191,1248,418,229,-27,-2545,-677,0,0.24425219847045102,-0.34911187769054514
27,Nebraska,3,7,1,0,5,5,4,-6,-1,5,0,2,1,3483,2783,3246,2596,2822,3940,-700,463,-650,226,1118,457,1,0.24425219847045102,0.40188874990525464
28,Nevada,13,13,21,19,20,15,0,8,-2,1,-5,2,1,4953,4885,4859,5162,4999,4589,-68,-26,303,-163,-410,-364,0,0.24425219847045102,-0.14182510834531994
29,New Hampshire,4,4,2,0,2,1,0,-2,-2,2,-1,-3,0,745,905,1151,1331,1217,646,160,246,180,-114,-571,-99,0,-0.27628527367969047,0.033673274646643846
30,New Jersey,23,21,13,18,19,9,-2,-8,5,1,-10,-14,0,9689,8264,6614,6008,5132,11586,-1425,-1650,-606,-876,6454,1897,1,-1.4214677124100017,1.3555403405030957
31,New Mexico,14,11,16,12,11,7,-3,5,-4,-1,-4,-7,0,8701,7526,8577,8024,8025,7606,-1175,1051,-553,1,-419,-1095,0,-0.6927152513998037,-0.6259357421835295
32,New York,108,95,127,118,69,114,-13,32,-9,-49,45,6,1,66676,65123,71226,68785,67269,65042,-1553,6103,-2441,-1516,-2227,-1634,0,0.6606821761905641,-0.9828928306086936
33,North Carolina,0,32,18,14,5,25,32,-14,-4,-9,20,25,1,7857,7134,7392,6502,5601,8414,-723,258,-890,-901,2813,557,1,2.6387245703611018,0.4681145548078825
34,North Dakota,3,4,1,8,6,3,1,-3,7,-2,-3,0,0,1760,1805,1981,2097,1797,1612,45,176,116,-300,-185,-148,0,0.03603720961039441,0.001222630244356202
35,Ohio,74,66,73,106,79,51,-8,7,33,-27,-28,-23,0,23006,23635,24897,25158,25470,24936,629,1262,261,312,-534,1930,1,-2.3584351622802564,1.3773948561209628
36,Oklahoma,31,31,21,47,23,34,0,-10,26,-24,11,3,1,14449,14308,14457,15355,15148,13183,-141,149,898,-207,-1965,-1266,0,0.3483596929004793,-0.7391818685670232
37,Oregon,27,19,30,26,23,13,-8,11,-4,-3,-10,-14,0,10428,11812,11013,12581,13543,10088,1384,-799,1568,962,-3455,-340,0,-1.4214677124100017,-0.12593091516868926
38,Pennsylvania,31,47,42,45,54,34,16,-5,3,9,-20,3,1,3629,4355,4625,4695,4817,3262,726,270,70,122,-1555,-367,0,0.3483596929004793,-0.1438118824923988
39,Puerto Rico,7,0,6,3,5,11,-7,6,-3,2,6,4,1,6950,0,5729,4381,4738,7683,-6950,5729,-1348,357,2945,733,1,0.45246718733050756,0.5846719714365075
40,Rhode Island,0,4,5,1,3,6,4,1,-4,2,3,6,1,3183,2955,3095,3644,3183,3410,-228,140,549,-461,227,227,1,0.6606821761905641,0.2495693986292106
41,South Carolina,25,22,28,39,60,41,-3,6,11,21,-19,16,1,14856,17331,17071,19130,18717,12439,2475,-260,2059,-413,-6278,-2417,0,1.7017571204908473,-1.5014408829962695
42,South Dakota,11,4,5,3,9,4,-7,1,-2,6,-5,-7,0,1073,1246,1339,1426,1537,886,173,93,87,111,-651,-187,0,-0.6927152513998037,-0.024605433667668656
43,Tennessee,32,41,33,47,43,28,9,-8,14,-4,-15,-4,0,11362,9665,9354,9186,9859,11695,-1697,-311,-168,673,1836,333,1,-0.3803927681097188,0.3197687518259961
44,Texas,162,217,186,200,229,153,55,-31,14,29,-76,-9,0,63781,57374,61506,63271,64093,65334,-6407,4132,1765,822,1241,1553,1,-0.9009302402598601,1.1277235716380558
45,Utah,6,12,13,10,11,15,6,1,-3,1,4,9,1,9569,9614,9947,10122,10579,9876,45,333,175,457,-703,307,1,0.9730046594806491,0.30255004255131285
46,Vermont,3,0,0,1,2,1,-3,0,1,1,-1,-2,0,921,822,878,958,851,813,-99,56,80,-107,-38,-108,0,-0.17217777924966216,0.02771295220540734
47,Virginia,54,45,41,37,49,37,-9,-4,-4,12,-12,-17,0,6112,5941,6277,6132,6159,6464,-171,336,-145,27,305,352,1,-1.7337901957000865,0.3323516547574954
48,Washington,27,15,18,28,25,19,-12,3,10,-3,-6,-8,0,5894,4725,4386,4498,4222,7341,-1169,-339,112,-276,3119,1447,1,-0.7968227458298319,1.0575242184412703
49,West Virginia,9,20,17,8,17,19,11,-3,-9,9,2,10,1,4857,5938,6370,6946,6727,4962,1081,432,576,-219,-1765,105,1,1.0771121539106774,0.16877391664800465
50,Wisconsin,17,25,31,24,34,18,8,6,-7,10,-16,1,1,4840,4822,4902,5017,4576,4642,-18,80,115,-441,66,-198,0,0.1401447040404227,-0.03189027220695772
